index,planned_ns,started_ns,prepared_ns,publication_started_ns,completed_ns,checkpoint_confirmed_by_ns,outcome,sequence,epoch,version,proof,value_ms,verified_ms,received_ms,price,quantity,checksum,gap,time_known,seal
0,87317224596,87317925172,0,0,87348361513,87348361513,1,2,1,2,2,0,0,0,102,2,3405517392,0,1,4774429974187203373
1,87367224596,87367352770,0,0,87391645501,87391645501,1,3,1,3,3,50,50,50,103,3,3405582928,0,1,16048958698555942270
2,87417224596,87417370959,0,0,87447522967,87447522967,1,4,1,4,4,100,100,100,104,4,3405386328,0,1,5451598767031816623
3,87467224596,87467419577,0,0,87490296980,87490296980,1,5,1,5,5,150,150,150,105,5,3405451864,0,1,9055242905382782948
4,87517224596,87517476480,0,0,87543223422,87543223422,1,6,1,6,6,200,200,200,106,6,3405255256,0,1,3151234856762698545
5,87567224596,87567505766,0,0,87597135068,87597135068,1,7,1,7,7,250,250,250,107,7,3405320792,0,1,10006907430143233642
6,87617224596,87617407864,0,0,87643115630,87643115630,1,8,1,8,8,300,300,300,108,8,3405124176,0,1,4011911695392296987
7,87667224596,87667493421,0,0,87696491687,87696491687,1,9,1,9,9,350,350,350,109,9,3405189712,0,1,17228528009857409928
8,87717224596,87717390952,0,0,87747961733,87747961733,1,10,1,10,10,400,400,400,110,10,3404993104,0,1,12045828808516835765
9,87767224596,87767447534,0,0,87794040708,87794040708,1,11,1,11,11,450,450,450,111,11,3405058640,0,1,2283607172493153814
10,87817224596,87817432014,0,0,87844005878,87844005878,1,12,1,12,12,500,500,500,112,12,3404862024,0,1,14821367979718701095
11,87867224596,87867409174,0,0,87890709269,87890709269,1,13,1,13,13,550,550,550,113,13,3404927560,0,1,1052591936132787020
12,87917224596,87917360351,0,0,87942165703,87942165703,1,14,1,14,14,600,600,600,114,14,3404730952,0,1,15895853364553036137
13,87967224596,87967469690,0,0,87989892079,87989892079,1,15,1,15,15,650,650,650,115,15,3404796488,0,1,15849859542654809490
14,88017224596,88017380220,0,0,88042678760,88042678760,1,16,1,16,16,700,700,700,116,16,3404599888,0,1,11981784447037669123
15,88067224596,88067560178,0,0,88096686735,88096686735,1,17,1,17,17,750,750,750,117,17,3404665424,0,1,11780989594488859616
16,88117224596,88117397616,0,0,88141108041,88141108041,1,18,1,18,18,800,800,800,118,18,3404468816,0,1,3742231858626031389
17,88167224596,88167324183,0,0,88191465397,88191465397,1,19,1,19,19,850,850,850,119,19,3404534352,0,1,14870251116190517902
18,88217224596,88217394654,0,0,88240824019,88240824019,1,20,1,20,20,900,900,900,120,20,3404337752,0,1,426017369431466591
19,88267224596,88267380826,0,0,88291806711,88291806711,1,21,1,21,21,950,950,950,121,21,3404403288,0,1,4705458992029017876
20,88317224596,88317347797,0,0,88346472762,88346472762,1,22,1,22,22,1000,1000,1000,122,22,3404206680,0,1,2012024416247559809
21,88367224596,88367391641,0,0,88392068300,88392068300,1,23,1,23,23,1050,1050,1050,123,23,3404272216,0,1,15222061102725008890
22,88417224596,88417346637,0,0,88448670018,88448670018,1,24,1,24,24,1100,1100,1100,124,24,3404075600,0,1,17069839448510532427
23,88467224596,88467412106,0,0,88493137914,88493137914,1,25,1,25,25,1150,1150,1150,125,25,3404141136,0,1,513788848062478936
24,88517224596,88517416942,0,0,88539590527,88539590527,1,26,1,26,26,1200,1200,1200,126,26,3403944528,0,1,18265234127782704837
25,88567224596,88567499454,0,0,88591675854,88591675854,1,27,1,27,27,1250,1250,1250,127,27,3404010064,0,1,6590824227392771462
26,88617224596,88617434405,0,0,88641565605,88641565605,1,28,1,28,28,1300,1300,1300,128,28,3403813544,0,1,18194807278034273719
27,88667224596,88667504158,0,0,88692492898,88692492898,1,29,1,29,29,1350,1350,1350,129,29,3403879080,0,1,18297779891517556572
28,88717224596,88717363748,0,0,88742734076,88742734076,1,30,1,30,30,1400,1400,1400,130,30,3403682472,0,1,6579873441968054233
29,88767224596,88767482975,0,0,88792560225,88792560225,1,31,1,31,31,1450,1450,1450,131,31,3403748008,0,1,6678782201137988418
30,88817224596,88817350600,0,0,88841491557,88841491557,1,32,1,32,32,1500,1500,1500,132,32,3403551376,0,1,11410052767036679891
31,88867224596,88867329261,0,0,88893390168,88893390168,1,33,1,33,33,1550,1550,1550,133,33,3403616912,0,1,17682883651958789968
32,88917224596,88917364021,0,0,88939973169,88939973169,1,34,1,34,34,1600,1600,1600,134,34,3403420304,0,1,10306697556505957389
33,88967224596,88967389172,0,0,88991018152,88991018152,1,35,1,35,35,1650,1650,1650,135,35,3403485840,0,1,4661807046404386014
34,89017224596,89017500694,0,0,89047859220,89047859220,1,36,1,36,36,1700,1700,1700,136,36,3403289240,0,1,13399892518081614479
35,89067224596,89067411768,0,0,89091348747,89091348747,1,37,1,37,37,1750,1750,1750,137,37,3403354776,0,1,11189678740612114500
36,89117224596,89117541972,0,0,89141001197,89141001197,1,38,1,38,38,1800,1800,1800,138,38,3403158168,0,1,15922479397963708945
37,89167224596,89167468949,0,0,89191592948,89191592948,1,39,1,39,39,1850,1850,1850,139,39,3403223704,0,1,9879422175431787722
38,89217224596,89217369578,0,0,89240740699,89240740699,1,40,1,40,40,1900,1900,1900,140,40,3403027088,0,1,15048358194723220411
39,89267224596,89267447384,0,0,89284556179,89284556179,1,41,1,41,41,1950,1950,1950,141,41,3403092624,0,1,2704991308795488616
