index,planned_ns,started_ns,prepared_ns,publication_started_ns,completed_ns,checkpoint_confirmed_by_ns,outcome,sequence,epoch,version,proof,value_ms,verified_ms,received_ms,price,quantity,checksum,gap,time_known,seal
0,18756453313,18757868439,0,0,18796053252,18796053252,1,2,1,2,2,1,1,1,102,2,3405517392,0,1,15739329941083173786
1,18956453313,18956729119,0,0,19040059729,19040059729,1,3,1,3,3,200,200,200,103,3,3405582928,0,1,11360549163515820340
2,19156453313,19156767237,0,0,19230474792,19230474792,1,4,1,4,4,400,400,400,104,4,3405386328,0,1,13882734872147665779
3,19356453313,19356865870,0,0,19441438432,19441438432,1,5,1,5,5,600,600,600,105,5,3405451864,0,1,11285214504928271098
4,19556453313,19556748560,0,0,19648948879,19648948879,1,6,1,6,6,800,800,800,106,6,3405255256,0,1,16053459004650634777
5,19756453313,19756635151,0,0,19842066959,19842066959,1,7,1,7,7,1000,1000,1000,107,7,3405320792,0,1,6773743824786951824
6,19956453313,19956587361,0,0,20003846486,20003846486,1,8,1,8,8,1200,1200,1200,108,8,3405124176,0,1,11076928842642903903
7,20156453313,20156698021,0,0,20237806651,20237806651,1,9,1,9,9,1400,1400,1400,109,9,3405189712,0,1,7142343869403189366
8,20356453313,20356691429,0,0,20424746654,20424746654,1,10,1,10,10,1600,1600,1600,110,10,3404993104,0,1,6197908508076442757
9,20556453313,20556677606,0,0,20618205143,20618205143,1,11,1,11,11,1800,1800,1800,111,11,3405058640,0,1,773068371793357788
