index,planned_ns,started_ns,prepared_ns,publication_started_ns,completed_ns,checkpoint_confirmed_by_ns,outcome,sequence,epoch,version,proof,value_ms,verified_ms,received_ms,price,quantity,checksum,gap,time_known,seal
0,18756453313,18759080430,0,0,18823828169,18823828169,1,2,1,2,2,1,1,1,102,2,3405517392,0,1,15739329941083173786
1,18956453313,18956618465,0,0,19001584999,19001584999,1,3,1,3,3,200,200,200,103,3,3405582928,0,1,11360549163515820340
2,19156453313,19156756705,0,0,19226960565,19226960565,1,4,1,4,4,400,400,400,104,4,3405386328,0,1,13882734872147665779
3,19356453313,19356728360,0,0,19393078518,19393078518,1,5,1,5,5,600,600,600,105,5,3405451864,0,1,11285214504928271098
4,19556453313,19556688381,0,0,19614929337,19614929337,1,6,1,6,6,800,800,800,106,6,3405255256,0,1,16053459004650634777
5,19756453313,19756589512,0,0,19796758582,19796758582,1,7,1,7,7,1000,1000,1000,107,7,3405320792,0,1,6773743824786951824
6,19956453313,19956613965,0,0,20029444151,20029444151,1,8,1,8,8,1200,1200,1200,108,8,3405124176,0,1,11076928842642903903
7,20156453313,20156685889,0,0,20211391105,20211391105,1,9,1,9,9,1400,1400,1400,109,9,3405189712,0,1,7142343869403189366
8,20356453313,20356710738,0,0,20437837183,20437837183,1,10,1,10,10,1600,1600,1600,110,10,3404993104,0,1,6197908508076442757
9,20556453313,20556752818,0,0,20636644734,20636644734,1,11,1,11,11,1800,1800,1800,111,11,3405058640,0,1,773068371793357788
